     2.7 0.118417 0.118738 0.168352  0.20233 0.313933 0.318094 0.329897 0.337215 0.377271 0.394695 0.399925 0.482633 0.483279 0.550431  0.55048 0.602718  0.60272 0.645592 0.645592 0.682024 0.682024 0.713614 0.713614 0.741382 0.742343 0.766034 0.788074 0.807867  0.82567 0.841656 0.855925 0.868516
     2.8 0.125379 0.126777 0.128257 0.150696 0.297414 0.315934 0.324267  0.32599 0.370142 0.376767 0.380186 0.457363 0.458271 0.526938 0.527014 0.580862 0.580867 0.625204 0.625204 0.663039 0.663039 0.695981 0.695981 0.725044 0.725047 0.750929 0.774137 0.795029 0.813861 0.830802 0.845949 0.859332
      2.9 0.0912487  0.109052    0.1343  0.136664  0.283126  0.313751  0.313958  0.322991  0.347266  0.355509  0.383069  0.432861  0.434109  0.503855  0.503969  0.559247  0.559254  0.604917  0.604917  0.644045  0.644045  0.678258  0.678258   0.70856  0.708561  0.735639  0.759989  0.781965  0.801819  0.819714  0.826336   0.83574
        3 0.0645324 0.0757909  0.141146  0.144195  0.270939  0.305525  0.310081  0.321655   0.32611  0.336199  0.383415  0.409226  0.410908  0.481248  0.481416  0.537935  0.537946  0.584791  0.584792  0.625098  0.625098  0.660495  0.660495   0.69197  0.691971  0.720198  0.720728  0.745658  0.768699  0.789563  0.808407  0.825314
      3.1  0.044038 0.0492652  0.147459  0.151048  0.260721  0.299448  0.301364  0.306682  0.318848   0.32355  0.377567  0.386545  0.388771  0.459175  0.459419  0.516982     0.517  0.564883  0.564884  0.606249  0.606249  0.642736  0.642736  0.675315  0.675315  0.704639  0.704644  0.731174  0.755255  0.777114    0.7969  0.814684
      3.2 0.0283153 0.0294047  0.153367  0.157386  0.252342  0.284759   0.28896  0.295386  0.303429  0.332363  0.361512  0.364895  0.367789  0.437688  0.438035  0.496438  0.496466  0.545245  0.545246  0.587548  0.587548  0.625028  0.625028  0.658634  0.658634  0.688998  0.689035  0.716565  0.739291  0.741657  0.764492  0.785207
      3.3 0.0135336 0.0217552   0.15899  0.163355  0.245668  0.258923  0.272898  0.289892    0.2932  0.333073  0.344334  0.348037  0.358157  0.416834  0.417317  0.476346  0.476388  0.525922  0.525925  0.569041  0.569041  0.607412  0.607412  0.641965  0.641965  0.673307  0.673307  0.701861  0.701991  0.727929  0.751717  0.773348
      3.4 0.0127368  0.022111  0.164445  0.169092  0.225773  0.240548  0.258433  0.278169   0.29273  0.294068  0.324909  0.329573  0.396651  0.397315  0.432801  0.456742  0.456803  0.506957  0.506961  0.550771  0.550771  0.589929  0.589929  0.625346  0.625346  0.657599  0.657599  0.687089  0.687121  0.714097  0.738811  0.761339
      3.5 0.0222368 0.0273352  0.169855  0.174733  0.189696  0.236788  0.245491  0.249759  0.268177  0.293764  0.306647  0.312438  0.377175   0.37807  0.437654  0.437743  0.488386  0.488392  0.532776  0.532776  0.572617  0.572617  0.608811  0.608811  0.632668  0.641906  0.641906  0.672278  0.672323  0.700185  0.709259  0.725795
      3.6 0.0321443 0.0339126  0.155006  0.175357  0.180426  0.205814  0.233994  0.234106   0.25983  0.289563  0.295971  0.296655  0.358435  0.359625  0.419106  0.419234  0.470238  0.470248  0.515092  0.515092  0.555513  0.555513  0.565807  0.592394  0.592394   0.62626   0.62626  0.657455  0.657463  0.686216  0.687058  0.712688
